id,complexity,n_classes,n_functions,loc,lloc,sloc,comments,multilines,blank_lines,h1,h2,N1,N2,h,N,calculated_N,volume,difficulty,effort,bugs,time,imports,assignments,assignments_unique,kwds,kwds_unique,lt_numbers,lt_strings,lt_booleans,lgc_op,lgc_op_unique,and_op,or_op,not_op,arithmetic_op,arithmetic_op_unique,add_op,minus_op,mult_op,div_op,mod_op,power_op,div_floor_op,cmp_op,cmp_op_unique,equal_op,not_eq_op,lt_op,gt_op,less_op,greater_op,bitwise_op,bitwise_op_unique,bitwise_and,bitwise_or,bitwise_xor,bitwise_not,lshift_op,rshift_op,identity_op,membership_op,conditionals,ifs,elifs,elses,loops,whiles,fors,breaks,continues,builtin_f,builtin_f_unique,type_f,type_f_unique,lambdas,lpar,lsqb,lbrace,commas,colons,dots,prints,inputs,len,uident,uident_unique,uident_mean,uident_per_line,uident_chars,modulo,has_comments,has_operators,has_operands,has_imports,has_kwds,has_numbers,has_strs,has_bools,has_lgc_op,has_arth_op,has_cmp_op,has_conditionals,has_ifs,has_elifs,has_elses,has_loops,has_fors,has_whiles,has_add_sub,has_mult_div,has_blocks,tentativas,media_submissoes,media_tempo_foco,taxa_acerto,classificacao_inep,classificacao_ter,classificacao_bin
1002,1.0,0.0,0.0,10.0,6.0,6.0,0.0,0.0,4.0,2.0,6.0,3.0,6.0,8.0,9.0,17.509775004326936,27.0,1.0,27.0,0.009000000000000001,1.5,1.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,10.0,6.0,1.6666666666666667,0.9090909090909092,5.0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17,1.1764705882352942,590.5611176470588,0.94,Muito Fácil,Fácil,Fácil
1020,1.0,0.0,0.0,8.0,7.0,7.0,0.0,0.0,1.0,3.0,8.0,4.0,8.0,11.0,12.0,28.754887502163466,41.51317942364757,1.5,62.269769135471364,0.013837726474549191,3.4594316186372978,0.0,6.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,12.0,6.0,1.7142857142857142,1.3333333333333333,3.0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,22,6.136363636363637,717.6219090909091,0.82,Fácil,Fácil,Fácil
1023,1.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,6.0,3.0,6.0,7.0,9.0,15.509775004326935,25.266194298518442,0.5,12.633097149259221,0.008422064766172813,0.701838730514401,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,8.0,5.0,1.6,1.3333333333333333,2.2,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,3.1875,410.3065624999999,0.94,Muito Fácil,Fácil,Fácil
1025,1.0,0.0,0.0,7.0,6.0,6.0,0.0,0.0,1.0,2.0,6.0,3.0,6.0,8.0,9.0,17.509775004326936,27.0,1.0,27.0,0.009000000000000001,1.5,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,10.0,5.0,1.6666666666666667,1.25,2.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,18,1.7777777777777777,692.3203333333335,0.94,Muito Fácil,Fácil,Fácil
1027,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,2.0,2.0,7.0,4.0,8.0,9.0,12.0,21.651484454403228,38.039100017307746,1.1428571428571428,43.47325716263743,0.012679700005769252,2.4151809534798567,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,1.75,1.0,9.0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,58,5.327586206896552,865.245172413793,0.86,Fácil,Fácil,Fácil
1028,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,2.0,2.0,7.0,4.0,8.0,9.0,12.0,21.651484454403228,38.039100017307746,1.1428571428571428,43.47325716263743,0.012679700005769252,2.4151809534798567,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,1.75,1.0,7.5,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,60,6.7,1034.0300166666668,0.77,Fácil,Fácil,Fácil
1029,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,2.0,2.0,7.0,4.0,8.0,9.0,12.0,21.651484454403228,38.039100017307746,1.1428571428571428,43.47325716263743,0.012679700005769252,2.4151809534798567,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,1.75,1.0,9.0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,69,3.9565217391304346,981.8155507246377,0.7,Fácil,Fácil,Fácil
1030,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,2.0,2.0,7.0,4.0,8.0,9.0,12.0,21.651484454403228,38.039100017307746,1.1428571428571428,43.47325716263743,0.012679700005769252,2.4151809534798567,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,1.75,1.0,8.0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,62,6.17741935483871,857.9349516129033,0.76,Fácil,Fácil,Fácil
1031,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,2.0,2.0,7.0,4.0,8.0,9.0,12.0,21.651484454403228,38.039100017307746,1.1428571428571428,43.47325716263743,0.012679700005769252,2.4151809534798567,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,1.75,1.0,11.5,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,50,6.2,829.38856,0.72,Fácil,Fácil,Fácil
1032,1.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,5.0,3.0,6.0,7.0,9.0,13.60964047443681,25.266194298518442,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,1.6666666666666667,0.8333333333333334,8.0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,66,4.893939393939394,706.5952575757577,0.77,Fácil,Fácil,Fácil
